quarter_end,RET_mean,RET_std,RET_max,abs_RET_mean,abs_RET_max,abs_exceed_sum,upper_exceed_sum,lower_exceed_sum,abs_extreme_score_mean,upper_extreme_score_mean,lower_extreme_score_mean,log_volume_mean,log_volume_std,log_volume_max,rel_spread_mean,rel_spread_max,days_in_quarter,high_spread_ratio,low_volume_ratio,high_volume_ratio,abs_exceed_ratio,upper_exceed_ratio,lower_exceed_ratio,abs_mean_excess,abs_max_excess,abs_es_q,abs_xi,abs_sigma,abs_threshold,upper_mean_excess,upper_max_excess,upper_es_q,upper_xi,upper_sigma,upper_threshold,lower_mean_excess,lower_max_excess,lower_es_q,lower_xi,lower_sigma,lower_threshold,municipal_decline,pred_prob,pred_decline
1997-12-31,-0.000342984375,0.019313079651745675,0.048507,0.014724890625,0.067826,2,1,1,0.019869745183833866,0.008259215765908082,0.002268931126854797,14.62959459654664,0.45686331808841046,15.46197485469518,0.006948199999920335,0.017825311942959002,64,0.0625,0.0,0.171875,0.03125,0.015625,0.015625,0.0,0.0,0.0,2.5542547980099104,0.0009310654196155127,0.030581799999999996,0.0,0.0,0.0,2.4171919161894198,0.00045800805822646346,0.02730715,0.0,0.0,0.0,2.147246697005835,0.0003948817727522181,0.029786,0,0.0012869084791275384,0
1991-09-30,-0.00508590625,0.02148442572103104,0.085106,0.016359375,0.085106,1,2,5,0.0028609232128452384,0.012054833550939264,0.05852141520312523,12.989387997161403,0.49482040697798524,13.786597577135181,0.0,,64,0.0,0.171875,0.0,0.015625,0.03125,0.078125,0.0,0.0,0.0,1.6171897667274187,0.0012977135562648092,0.041416949999999994,0.019306350000000083,0.055031850000000083,0.10508540409353889,0.2783555354100372,0.014418026369908382,0.030074149999999918,0.004088800000000009,0.006241800000000006,0.0458478606218788,-1.497779679910777,0.009348841206067098,0.03586319999999999,0,0.029792544854028543,0
2001-09-30,-0.006746881355932203,0.03157785146164882,0.052529,0.01943552542372881,0.159848,5,3,5,0.03564559273238486,0.033645730382730575,0.017459244754216955,13.038451993833815,0.5963114444916393,14.158320525814698,0.005401137929010039,0.018224048597462857,59,0.03389830508474576,0.1864406779661017,0.0,0.0847457627118644,0.05084745762711865,0.0847457627118644,0.05337800000000009,0.10565700000000008,0.21901577717551915,-1.2727202904403432,0.13447180772705547,0.054190999999999906,0.011294933333333382,0.018472600000000047,0.06387892914083303,-1.593493419147038,0.029435966534535653,0.03405639999999995,0.056178800000000105,0.1084578000000001,0.23699177646553016,-2.4635536337453283,0.2671916072980244,0.05139019999999989,0,0.06802178914053568,0
2008-12-31,-0.0018047812500000002,0.07192531718352994,0.220033,0.05605365625,0.220033,32,16,21,0.1355468228884513,0.06194799124117401,0.06553550310799534,13.796108455352774,0.48885753973730905,14.905788545965425,0.001862441933292456,0.0166320166320167,64,0.015625,0.015625,0.0,0.5,0.25,0.328125,0.039791050000000036,0.09520430000000005,0.2793130492487364,-1.650140170192727,0.1571004398050795,0.12482869999999996,0.03826950000000003,0.10191725000000004,0.26537488298842493,0.48704300713875737,0.023258435948408797,0.11811574999999996,0.015406550000000008,0.0470633,0.17234036397886027,0.6187266429546165,0.007767439605170505,0.10490469999999999,0,0.05925664682057299,0
1992-03-31,0.007427206349206349,0.0353177494347269,0.111111,0.027470698412698412,0.111111,9,12,6,0.061848437633364145,0.06780657535819153,0.06608940186255148,14.262020377501557,0.540931154958622,15.649515168558546,0.0,,63,0.0,0.0,0.06349206349206349,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.012972750000000019,0.03272800000000002,0.12474028469411172,-0.38269084940694287,0.018845087230510364,0.07838299999999998,0.012972750000000019,0.03272800000000002,0.12474028469411172,-0.38269084940694287,0.018845087230510364,0.07838299999999998,0.00440225,0.008778000000000001,0.05146693604313901,-1.5332865740094488,0.013459189546654945,0.037376,0,0.07430868223321203,0
1993-12-31,0.0018599062499999998,0.019099852347737065,0.06701,0.01417528125,0.06701,2,2,2,0.014490017930398186,0.008263533600004876,0.02547499567908037,14.307659989311478,0.41640987160602666,15.575796903806715,0.004046734845668431,0.007100591715976331,64,0.0,0.0,0.015625,0.03125,0.03125,0.03125,0.0,0.0,0.0,1.2916324413053546,0.00370398945095311,0.036426649999999984,0.01876635000000001,0.03863910000000001,0.09378889532958083,-2.257878010855136,0.08724237424923273,0.028370899999999987,0.006728350000000017,0.011682350000000015,0.04500420728478623,-1.6216283334272759,0.01894442976101416,0.026095649999999984,0,0.01027354628203044,0
2009-03-31,-0.005401311475409836,0.04954893029472347,0.128535,0.03950632786885246,0.128535,18,12,17,0.10107052227924802,0.09883337840904238,0.08839865459640932,13.696145636943065,0.36909025862551026,14.702249299573683,0.0013753936771506979,0.006964907581033968,61,0.0,0.0,0.0,0.29508196721311475,0.19672131147540983,0.2786885245901639,0.017957666666666667,0.037750000000000006,0.15122463482488144,-1.5065793266664758,0.05687336958165948,0.090785,0.04296333333333333,0.064463,0.1651413013296082,-1.31409330885702,0.08471039696885009,0.064072,0.003674666666666664,0.007729,0.10030471053117788,-1.3201226048761268,0.010203227613087585,0.088178,0,0.12160335489477676,0
1991-03-31,0.0030840000000000004,0.03643816234480914,0.13,0.027434852459016393,0.13,9,10,8,0.06804794536392746,0.06973124609063765,0.06639728588775987,13.58566853339236,0.5940885769574993,15.092492438021221,0.0,,61,0.0,0.0,0.0,0.14754098360655737,0.16393442622950818,0.13114754098360656,0.02663900000000001,0.06069300000000001,0.17487160289231057,-2.836134039673546,0.17213348326990657,0.069307,0.03847500000000001,0.07252900000000001,0.17630919096027736,-1.7661910081083936,0.12810006762709372,0.057471,0.017895999999999992,0.02544699999999999,0.08871891653893728,-3.2165116960153965,0.08185057312850379,0.04386,0,0.6225045084229138,1
1997-03-31,-0.0012315737704918033,0.015710547302644613,0.043478,0.011949934426229507,0.048327,1,1,1,0.014947969011099242,0.011511469022230792,0.006722068984483357,14.701947931374237,0.38376004244605477,15.981129910564055,0.006494863717337748,0.011741682974559686,61,0.0,0.0,0.11475409836065574,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.013084333333333337,0.019446,0.062397163204471445,-2.6172973138199707,0.050895963564543165,0.028881,0.010059333333333337,0.018054000000000004,0.054923611505183184,-1.731982239567234,0.03126920735314685,0.025424,0.010263666666666667,0.024889,0.05864180827734877,0.10330439280757747,0.009249243271330684,0.023438,0,0.27362790160254014,0
2014-12-31,0.005200127272727272,0.030196024382085494,0.116255,0.020859327272727272,0.116255,5,5,3,0.039206433716917684,0.03591584397303845,0.018737717692069847,14.897031243549254,1.1175216200141223,18.641179689377086,0.001029582987589167,0.0033500837520939295,55,0.0,0.0,0.2909090909090909,0.09090909090909091,0.09090909090909091,0.05454545454545454,0.03264036666666666,0.0595077,0.1570591215311984,-2.181621105247931,0.12982325424476232,0.0567473,0.02333856666666667,0.0629249,0.191268113869241,0.8873947336885468,0.008446871664097251,0.05333009999999999,0.029012566666666722,0.061989900000000056,0.13091828288109203,-1.404235981092841,0.0870484480443472,0.03272209999999995,1,0.7104053438161972,1
